         30405 function calls (30342 primitive calls) in 0.021 seconds

   Ordered by: cumulative time
   List reduced from 296 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.001    0.000    0.021    0.007 C:\Users\medin\OneDrive\Desktop\LastPing\scripts\profile_hotpaths.py:409(analytics_trends_direct)
        3    0.001    0.000    0.017    0.006 C:\Users\medin\OneDrive\Desktop\LastPing\src\routers\analytics.py:70(_compute_failure_trends)
        3    0.000    0.000    0.013    0.004 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\result.py:1766(all)
        3    0.000    0.000    0.013    0.004 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\result.py:543(_allrows)
        3    0.000    0.000    0.013    0.004 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\result.py:1680(_fetchall_impl)
        3    0.000    0.000    0.013    0.004 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\result.py:2271(_fetchall_impl)
        6    0.000    0.000    0.012    0.002 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\loading.py:208(chunks)
        3    0.000    0.000    0.010    0.003 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\loading.py:224(<listcomp>)
     1800    0.003    0.000    0.010    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\loading.py:1068(_instance)
     1800    0.001    0.000    0.004    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\instrumentation.py:502(new_instance)
     1800    0.002    0.000    0.002    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\loading.py:1329(_populate_full)
        3    0.000    0.000    0.002    0.001 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlmodel\orm\session.py:54(exec)
        3    0.000    0.000    0.002    0.001 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\session.py:2291(execute)
        3    0.000    0.000    0.002    0.001 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\session.py:2136(_execute_internal)
        3    0.000    0.000    0.002    0.001 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\result.py:537(_raw_all_rows)
     1800    0.001    0.000    0.002    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\state.py:539(_cleanup)
        3    0.000    0.000    0.002    0.001 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\context.py:296(orm_execute_statement)
     1800    0.001    0.000    0.001    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlmodel\main.py:664(__new__)
        3    0.000    0.000    0.001    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\base.py:1375(execute)
        3    0.000    0.000    0.001    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\sql\elements.py:518(_execute_on_connection)
        3    0.000    0.000    0.001    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\base.py:1591(_execute_clauseelement)
        3    0.000    0.000    0.001    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\cursor.py:2251(_fetchall_impl)
        3    0.000    0.000    0.001    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\cursor.py:1191(fetchall)
        3    0.001    0.000    0.001    0.000 {method 'fetchall' of 'sqlite3.Cursor' objects}
     1800    0.001    0.000    0.001    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\state.py:201(__init__)


