         4975 function calls (4951 primitive calls) in 0.154 seconds

   Ordered by: cumulative time
   List reduced from 319 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.154    0.051 C:\Users\medin\OneDrive\Desktop\LastPing\scripts\profile_hotpaths.py:384(availability_report)
        3    0.000    0.000    0.154    0.051 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\starlette\testclient.py:481(get)
        3    0.000    0.000    0.154    0.051 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\httpx\_client.py:1024(get)
        3    0.000    0.000    0.154    0.051 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\starlette\testclient.py:441(request)
        3    0.000    0.000    0.153    0.051 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\httpx\_client.py:760(request)
        3    0.000    0.000    0.153    0.051 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\httpx\_client.py:868(send)
        3    0.000    0.000    0.152    0.051 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\httpx\_client.py:917(_send_handling_auth)
        3    0.000    0.000    0.152    0.051 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\httpx\_client.py:951(_send_handling_redirects)
        3    0.000    0.000    0.152    0.051 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\httpx\_client.py:988(_send_single_request)
        3    0.000    0.000    0.151    0.050 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\starlette\testclient.py:200(handle_request)
       39    0.149    0.004    0.149    0.004 {method 'acquire' of '_thread.lock' objects}
       15    0.000    0.000    0.148    0.010 C:\Users\medin\AppData\Local\Programs\Python\Python311\Lib\threading.py:295(wait)
       21    0.000    0.000    0.148    0.007 C:\Users\medin\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\_base.py:428(result)
        9    0.000    0.000    0.147    0.016 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\anyio\from_thread.py:319(call)
    42/33    0.000    0.000    0.005    0.000 {built-in method builtins.next}
        6    0.000    0.000    0.005    0.001 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\starlette\testclient.py:408(_portal_factory)
        6    0.000    0.000    0.005    0.001 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\anyio\from_thread.py:499(start_blocking_portal)
    18/15    0.000    0.000    0.003    0.000 C:\Users\medin\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:132(__enter__)
    18/15    0.000    0.000    0.002    0.000 C:\Users\medin\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:141(__exit__)
        9    0.000    0.000    0.002    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\anyio\from_thread.py:352(start_task_soon)
        9    0.000    0.000    0.001    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\anyio\from_thread.py:278(_spawn_task_from_thread)
        9    0.000    0.000    0.001    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\anyio\from_thread.py:95(run_sync)
        9    0.000    0.000    0.001    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:2551(run_sync_from_thread)
        3    0.000    0.000    0.001    0.000 C:\Users\medin\AppData\Local\Programs\Python\Python311\Lib\threading.py:945(start)
        3    0.000    0.000    0.001    0.000 C:\Users\medin\AppData\Local\Programs\Python\Python311\Lib\threading.py:611(wait)


