         801165 function calls (800669 primitive calls) in 0.574 seconds

   Ordered by: cumulative time
   List reduced from 733 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.575    0.192 C:\Users\medin\OneDrive\Desktop\LastPing\scripts\profile_hotpaths.py:453(raw_retention_prune)
        3    0.008    0.003    0.575    0.192 C:\Users\medin\OneDrive\Desktop\LastPing\src\worker.py:1349(_maybe_prune_raw_data)
       12    0.001    0.000    0.549    0.046 C:\Users\medin\OneDrive\Desktop\LastPing\src\worker.py:1248(_prune_raw_table_chunked)
       12    0.037    0.003    0.193    0.016 C:\Users\medin\OneDrive\Desktop\LastPing\src\worker.py:1222(_archive_retention_rows)
       36    0.000    0.000    0.174    0.005 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlmodel\orm\session.py:54(exec)
       36    0.000    0.000    0.174    0.005 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\session.py:2291(execute)
       36    0.001    0.000    0.174    0.005 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\session.py:2136(_execute_internal)
       36    0.000    0.000    0.169    0.005 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\context.py:296(orm_execute_statement)
       12    0.000    0.000    0.142    0.012 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\bulk_persistence.py:2005(orm_execute_statement)
       12    0.001    0.000    0.100    0.008 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\bulk_persistence.py:795(orm_setup_cursor_result)
       12    0.003    0.000    0.100    0.008 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\bulk_persistence.py:2078(_do_post_synchronize_evaluate)
       24    0.000    0.000    0.094    0.004 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\result.py:1766(all)
       24    0.000    0.000    0.093    0.004 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\result.py:543(_allrows)
       24    0.000    0.000    0.090    0.004 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\result.py:1680(_fetchall_impl)
       24    0.001    0.000    0.090    0.004 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\result.py:2271(_fetchall_impl)
       48    0.000    0.000    0.088    0.002 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\loading.py:208(chunks)
   111/51    0.000    0.000    0.081    0.002 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\state_changes.py:93(_go)
       15    0.000    0.000    0.080    0.005 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\session.py:1994(commit)
    18/15    0.000    0.000    0.079    0.005 <string>:1(commit)
    18/15    0.001    0.000    0.079    0.005 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\session.py:1304(commit)
       12    0.006    0.000    0.077    0.006 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\orm\bulk_persistence.py:911(_get_matched_objects_on_criteria)
       39    0.000    0.000    0.069    0.002 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\base.py:1375(execute)
       39    0.000    0.000    0.069    0.002 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\sql\elements.py:518(_execute_on_connection)
       39    0.001    0.000    0.069    0.002 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\base.py:1591(_execute_clauseelement)
       15    0.000    0.000    0.061    0.004 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\sqlalchemy\engine\base.py:2623(commit)


