         4638 function calls (4524 primitive calls) in 0.022 seconds

   Ordered by: cumulative time
   List reduced from 372 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.022    0.007 C:\Users\medin\OneDrive\Desktop\LastPing\scripts\profile_hotpaths.py:376(dashboard_health)
        3    0.000    0.000    0.022    0.007 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\starlette\testclient.py:481(get)
        3    0.000    0.000    0.022    0.007 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\httpx\_client.py:1024(get)
        3    0.000    0.000    0.022    0.007 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\starlette\testclient.py:441(request)
        3    0.000    0.000    0.022    0.007 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\httpx\_client.py:760(request)
        3    0.000    0.000    0.021    0.007 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\httpx\_client.py:868(send)
        3    0.000    0.000    0.021    0.007 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\httpx\_client.py:917(_send_handling_auth)
        3    0.000    0.000    0.021    0.007 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\httpx\_client.py:951(_send_handling_redirects)
        3    0.000    0.000    0.021    0.007 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\httpx\_client.py:988(_send_single_request)
        3    0.000    0.000    0.020    0.007 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\starlette\testclient.py:200(handle_request)
       35    0.017    0.000    0.017    0.000 {method 'acquire' of '_thread.lock' objects}
       13    0.000    0.000    0.017    0.001 C:\Users\medin\AppData\Local\Programs\Python\Python311\Lib\threading.py:295(wait)
       21    0.000    0.000    0.016    0.001 C:\Users\medin\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\_base.py:428(result)
        9    0.000    0.000    0.013    0.001 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\anyio\from_thread.py:319(call)
    42/33    0.000    0.000    0.008    0.000 {built-in method builtins.next}
        6    0.000    0.000    0.008    0.001 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\starlette\testclient.py:408(_portal_factory)
        6    0.000    0.000    0.007    0.001 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\anyio\from_thread.py:499(start_blocking_portal)
    18/15    0.000    0.000    0.006    0.000 C:\Users\medin\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:132(__enter__)
        9    0.000    0.000    0.003    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\anyio\from_thread.py:352(start_task_soon)
        9    0.000    0.000    0.003    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\anyio\from_thread.py:278(_spawn_task_from_thread)
        9    0.000    0.000    0.003    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\anyio\from_thread.py:95(run_sync)
        9    0.000    0.000    0.002    0.000 C:\Users\medin\OneDrive\Desktop\LastPing\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:2551(run_sync_from_thread)
        9    0.000    0.000    0.002    0.000 C:\Users\medin\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:805(call_soon_threadsafe)
        9    0.000    0.000    0.002    0.000 C:\Users\medin\AppData\Local\Programs\Python\Python311\Lib\asyncio\proactor_events.py:817(_write_to_self)
        9    0.002    0.000    0.002    0.000 {method 'send' of '_socket.socket' objects}


